1,12301,4,A12(42)-A12(49)-A12(53)-A13(5)
2,12301,3,A12(48)-A13(11)-A13(17)
3,12321,5,NA
4,12301,1,A12(46)
5,12301,2,A13(6)-A13(7)
6,12321,4,A3(53)-A3(57)-A3(58)-A3(59)
7,12301,1,A13(23)
8,12321,2,S11(1)-S11(2)
9,12321,5,S4(28)-S4(33)-S4(36)-S6(39)-S6(47)
10,12321,3,S4(41)-S4(44)-S4(49)
11,12321,2,S4(52)-S6(55)
12,12301,5,A12(50)-A12(51)-A13(9)-A13(13)-A13(15)
13,12321,4,NA
14,12321,2,A3(60)-A3(61)
15,12321,5,NA
16,12321,5,S3(70)-S4(14)-S4(18)-S4(57)-S4(60)
17,12321,1,S12(1)
18,12321,1,S6(63)
19,12301,5,A12(52)-A13(19)-A13(21)-A13(29)-A13(35)
20,12321,1,S6(71)
21,12321,3,S4(21)-S4(40)-S7(7)
22,12301,5,A13(8)-A13(10)-A13(12)-A13(14)-A13(16)
23,12321,2,A3(64)-A3(66)
24,12321,4,NA
25,12321,1,A3(72)
26,12301,1,A12(54)
27,12321,1,A3(62)
28,12321,2,S4(19)-S4(22)
29,12301,1,A13(18)
30,12321,1,S7(15)
31,12321,3,S4(27)-S4(30)-S7(23)
32,12321,2,S4(65)-S7(31)
33,12301,1,A13(20)
34,12321,3,S4(48)-S4(68)-S7(39)
35,12301,2,A13(22)-A13(26)
36,12301,5,A13(24)-A13(25)-A13(27)-A13(28)-A13(30)
37,12321,3,NA
38,12301,4,A13(31)-A13(32)-A13(33)-A13(34)
39,12301,2,A13(36)-A13(37)
40,12321,5,NA
41,12301,3,A13(39)-A13(42)-A13(48)
42,12301,4,A13(38)-A13(40)-A13(41)-A13(43)
43,12321,4,NA
44,12321,5,S4(26)-S4(29)-S4(34)-S4(35)-S4(37)
45,12301,2,A13(44)-A13(45)
46,12321,1,NA
47,12321,1,S4(56)
48,12321,5,A3(65)-A3(67)-A3(68)-A3(69)-A3(70)
49,12301,5,A13(46)-A13(47)-A13(49)-A13(50)-A13(51)
50,12301,3,A13(52)-A13(53)-A13(54)
