1,12321,2,S4(38)-S4(42)
2,12301,2,NA
3,12321,2,S4(43)-S4(64)
4,12321,4,S4(45)-S4(46)-S4(50)-S4(51)
5,12301,1,NA
6,12301,4,NA
7,12301,3,NA
8,12321,3,S5(2)-S5(3)-S5(4)
9,12321,3,S4(53)-S4(54)-S4(58)
10,12321,2,S4(72)-S7(47)
11,12301,1,NA
12,12321,1,NA
13,12301,3,NA
14,12301,4,NA
15,12301,2,NA
16,12321,2,NA
17,12321,5,S4(59)-S4(61)-S4(62)-S4(66)-S4(67)
18,12301,5,NA
19,12321,2,NA
20,12321,1,S4(69)
21,12321,2,NA
22,12321,1,S4(70)
23,12301,4,NA
24,12321,2,NA
25,12301,5,NA
26,12301,3,NA
27,12321,5,NA
28,12321,3,S5(6)-S5(9)-S5(12)
29,12301,1,NA
30,12301,2,NA
31,12301,3,NA
32,12321,2,S7(55)-S7(63)
33,12321,5,S5(5)-S5(8)-S5(10)-S5(11)-S5(13)
34,12301,3,NA
35,12301,4,NA
36,12321,4,S5(14)-S5(16)-S5(17)-S5(18)
37,12321,4,NA
38,12301,4,NA
39,12301,3,NA
40,12321,2,S5(20)-S5(21)
41,12301,1,NA
42,12321,4,NA
43,12301,1,NA
44,12301,4,NA
45,12301,4,NA
46,12301,2,NA
47,12301,1,NA
48,12321,1,S7(71)
49,12301,4,NA
50,12301,3,NA
