1,12321,1,A3(2)
2,12321,4,A1(11)-A1(12)-A1(13)-A1(14)
3,12301,4,A1(39)-A1(40)-A1(42)-A1(43)
4,12321,3,A1(21)-A1(23)-A1(31)
5,12301,6,A1(52)-A2(7)-A2(8)-A2(10)-A2(17)-A2(23)
6,12321,4,A1(30)-A1(34)-A1(36)-A1(41)
7,12321,3,A3(3)-A3(4)-A3(5)
8,12321,5,S1(40)-S1(42)-S1(43)-S1(45)-S1(47)
9,12321,5,A1(35)-A1(44)-A1(48)-A1(49)-A1(52)
10,12321,4,S1(46)-S1(50)-S1(51)-S1(63)
11,12301,5,A3(3)-A3(4)-A3(5)-A3(7)-A3(8)
12,12301,1,A3(18)
13,12321,6,S2(1)-S2(4)-S2(5)-S2(6)-S2(9)-S2(10)
14,12301,5,A3(26)-A3(28)-A3(35)-A3(41)-A3(47)
15,12321,6,A1(50)-A1(51)-A1(53)-A1(54)-A1(55)-A1(57)
16,12321,6,A1(61)-A1(63)-A1(65)-A1(66)-A1(68)-A1(69)
17,12301,3,A4(1)-A4(2)-A4(3)
18,12321,6,S2(20)-S2(21)-S2(25)-S2(26)-S2(32)-S2(39)
19,12321,5,A2(13)-A2(14)-A2(15)-A2(16)-A2(17)
20,12301,6,A4(25)-A4(27)-A4(28)-A4(29)-A4(30)-A4(31)
21,12301,3,A4(50)-A4(51)-A4(52)
22,12321,1,A2(23)
23,12301,2,A5(10)-A5(11)
24,12321,6,A2(42)-A2(44)-A2(45)-A2(46)-A2(47)-A2(48)
25,12301,4,A5(27)-A5(34)-A5(53)-A6(5)
26,12301,3,A4(54)-A5(30)-A5(44)
27,12321,1,A2(59)
28,12321,3,A2(60)-A2(61)-A2(62)
29,12321,6,S2(50)-S2(53)-S2(54)-S2(58)-S2(59)-S2(60)
30,12301,5,A6(22)-A6(24)-A6(25)-A6(35)-A6(41)
31,12301,2,A6(28)-A6(31)
32,12321,5,S2(61)-S2(62)-S2(66)-S2(67)-S2(68)
33,12301,3,A7(10)-A7(11)-A7(12)
34,12301,2,A8(1)-A8(2)
35,12301,4,A7(25)-A7(26)-A7(27)-A7(28)
36,12321,6,A3(38)-A3(39)-A3(40)-A3(41)-A3(42)-A3(43)
37,12301,2,A7(46)-A7(50)
38,12301,1,A7(52)
39,12321,3,S3(23)-S3(24)-S3(32)
40,12301,4,A8(25)-A8(26)-A8(27)-A8(28)
41,12301,5,A8(42)-A8(43)-A8(47)-A8(53)-A9(5)
42,12321,6,A3(56)-A3(58)-A3(63)-A3(64)-A3(70)-A3(71)
43,12321,5,NA
44,12321,5,S3(36)-S3(37)-S3(38)-S3(41)-S3(42)
45,12301,5,A9(25)-A9(27)-A9(30)-A9(31)-A9(32)
46,12321,6,S3(44)-S3(45)-S3(46)-S3(51)-S3(55)-S3(72)
47,12301,3,A10(1)-A10(2)-A10(3)
48,12301,6,A10(13)-A10(15)-A10(16)-A10(17)-A10(18)-A10(19)
49,12301,5,A10(23)-A10(24)-A10(25)-A10(26)-A10(27)
50,12321,6,S3(70)-S4(1)-S4(4)-S4(7)-S4(9)-S4(12)
51,12321,2,NA
52,12321,4,NA
53,12321,1,A3(72)
54,12321,3,NA
55,12301,4,A11(14)-A11(15)-A11(16)-A11(18)
56,12301,3,A11(22)-A11(42)-A11(48)
57,12301,4,A11(28)-A11(31)-A11(33)-A11(35)
58,12301,2,A11(37)-A11(38)
59,12301,6,A12(1)-A12(2)-A12(3)-A12(4)-A12(5)-A12(7)
60,12301,6,A11(52)-A12(9)-A12(24)-A12(30)-A12(35)-A12(41)
61,12301,5,A12(28)-A12(36)-A12(42)-A12(47)-A12(53)
62,12321,4,NA
63,12301,5,A12(44)-A12(46)-A13(5)-A13(11)-A13(17)
64,12321,3,NA
65,12321,4,S4(65)-S4(68)-S4(70)-S5(8)
66,12301,2,A13(10)-A13(14)
67,12301,3,A13(32)-A13(34)-A13(37)
68,12321,5,NA
69,12321,1,S6(1)
70,12321,4,S5(5)-S5(7)-S5(9)-S5(10)
